,gps_height,closeness_to_waterbody,population,permit,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,construction_age
244,1007,Far,1,TRUE,annually,good,enough,spring,communal standpipe,24
246,1114,Far,1,TRUE,annually,good,enough,spring,communal standpipe,22
247,165,Near,1000,FALSE,never pay,good,insufficient,spring,communal standpipe,9
248,1421,Far,30,TRUE,per bucket,good,enough,spring,communal standpipe,5
249,-19,Near,500,FALSE,never pay,good,dry,shallow well,hand pump,6
250,1244,Far,55,TRUE,monthly,good,seasonal,river/lake,communal standpipe,4
251,357,Near,1700,TRUE,per bucket,salty,enough,borehole,communal standpipe,38
252,1612,Far,1,TRUE,never pay,good,insufficient,spring,communal standpipe,53
254,1790,Far,0,FALSE,annually,good,enough,spring,communal standpipe,10
258,1591,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,29
261,844,Near,250,FALSE,never pay,good,enough,borehole,communal standpipe,39
269,338,Near,2530,TRUE,per bucket,salty,enough,borehole,communal standpipe,39
276,326,Far,1,TRUE,never pay,good,enough,river/lake,communal standpipe,18
278,1445,Far,80,FALSE,never pay,good,insufficient,spring,communal standpipe,41
279,1886,Far,1,FALSE,never pay,other,enough,river/lake,communal standpipe,29
280,1343,Near,50,TRUE,monthly,good,insufficient,river/lake,communal standpipe,31
283,1564,Far,150,TRUE,never pay,good,insufficient,spring,communal standpipe,11
284,991,Near,150,TRUE,monthly,good,insufficient,river/lake,communal standpipe,16
288,1822,Far,0,TRUE,monthly,good,seasonal,borehole,hand pump,22
290,524,Far,450,TRUE,never pay,good,insufficient,river/lake,communal standpipe,43
291,1542,Near,230,TRUE,never pay,good,enough,shallow well,hand pump,15
293,1602,Far,150,TRUE,per bucket,good,enough,river/lake,communal standpipe,21
296,201,Near,1,TRUE,never pay,good,dry,borehole,communal standpipe,31
299,334,Near,36,TRUE,never pay,salty,dry,shallow well,hand pump,35
308,1773,Near,150,TRUE,never pay,good,enough,river/lake,communal standpipe,3
310,828,Far,900,TRUE,never pay,good,dry,river/lake,communal standpipe,3
314,290,Near,500,FALSE,never pay,good,dry,borehole,hand pump,16
316,1632,Far,200,FALSE,never pay,good,insufficient,borehole,hand pump,29
318,237,Near,150,FALSE,never pay,good,seasonal,spring,communal standpipe,14
325,1715,Far,1,TRUE,never pay,good,enough,spring,communal standpipe,39
327,847,Near,450,TRUE,monthly,good,enough,river/lake,communal standpipe,4
328,482,Far,86,TRUE,monthly,good,enough,spring,communal standpipe,5
331,1652,Far,25,TRUE,on failure,good,enough,river/lake,communal standpipe,19
335,572,Far,1,FALSE,annually,good,enough,borehole,hand pump,15
337,2179,Far,75,TRUE,annually,good,dry,spring,communal standpipe,13
338,293,Far,300,TRUE,monthly,good,insufficient,shallow well,hand pump,29
339,1666,Far,240,FALSE,never pay,good,enough,borehole,hand pump,5
341,887,Far,203,TRUE,monthly,good,enough,spring,communal standpipe,18
343,1479,Far,200,TRUE,monthly,good,enough,spring,communal standpipe,14
344,1604,Near,215,TRUE,never pay,good,insufficient,spring,communal standpipe,8
348,480,Far,98,TRUE,monthly,good,enough,spring,communal standpipe,21
349,161,Far,160,TRUE,monthly,salty,enough,shallow well,hand pump,11
350,226,Near,450,TRUE,per bucket,good,enough,borehole,communal standpipe,1
351,917,Near,200,TRUE,per bucket,good,enough,borehole,communal standpipe,13
353,1284,Near,1200,TRUE,never pay,good,insufficient,spring,communal standpipe,37
356,960,Far,300,TRUE,never pay,good,enough,spring,communal standpipe,43
359,1200,Far,200,TRUE,on failure,good,insufficient,river/lake,communal standpipe,5
362,1669,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,5
364,1325,Near,210,TRUE,monthly,good,enough,river/lake,communal standpipe,25
365,260,Far,300,TRUE,monthly,good,insufficient,river/lake,communal standpipe,18
369,256,Far,120,TRUE,never pay,good,insufficient,shallow well,hand pump,9
371,1726,Far,100,TRUE,annually,other,enough,river/lake,communal standpipe,11
372,317,Far,500,TRUE,monthly,good,insufficient,shallow well,hand pump,5
373,901,Far,300,TRUE,on failure,good,seasonal,shallow well,hand pump,18
374,1689,Far,50,TRUE,on failure,good,dry,river/lake,communal standpipe,35
375,-45,Near,1,TRUE,per bucket,good,enough,borehole,communal standpipe,7
376,513,Far,1,FALSE,per bucket,good,enough,borehole,hand pump,14
378,674,Far,1,FALSE,per bucket,good,enough,borehole,communal standpipe,2
380,701,Far,400,TRUE,monthly,good,insufficient,borehole,communal standpipe,4
381,980,Far,100,TRUE,never pay,good,insufficient,spring,communal standpipe,41
382,1580,Far,250,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,11
383,1362,Far,450,FALSE,never pay,good,enough,shallow well,hand pump,5
384,356,Far,309,TRUE,never pay,good,enough,river/lake,communal standpipe,18
385,995,Far,0,TRUE,on failure,good,insufficient,spring,communal standpipe,29
388,1020,Far,100,TRUE,per bucket,good,enough,spring,communal standpipe,3
389,1694,Far,95,TRUE,annually,good,enough,spring,communal standpipe,21
392,1804,Far,130,TRUE,monthly,good,enough,spring,communal standpipe,4
395,1576,Far,80,TRUE,never pay,good,insufficient,river/lake,communal standpipe,10
396,1772,Far,0,TRUE,annually,good,enough,spring,communal standpipe,13
398,729,Far,360,FALSE,monthly,good,insufficient,shallow well,hand pump,14
399,459,Far,250,TRUE,per bucket,good,enough,river/lake,communal standpipe,9
401,965,Far,159,TRUE,per bucket,good,enough,spring,communal standpipe,45
407,1529,Far,1,TRUE,annually,good,enough,spring,communal standpipe,28
408,486,Far,130,TRUE,never pay,salty,enough,shallow well,hand pump,33
409,375,Far,1,FALSE,monthly,good,enough,borehole,hand pump,6
410,743,Far,1,FALSE,never pay,good,enough,river/lake,communal standpipe,39
414,1001,Far,70,FALSE,never pay,good,insufficient,spring,communal standpipe,20
415,1680,Far,35,FALSE,on failure,good,dry,spring,communal standpipe,21
417,30,Near,100,FALSE,per bucket,good,enough,borehole,communal standpipe,13
418,501,Far,65,TRUE,annually,good,insufficient,spring,communal standpipe,21
419,466,Far,250,TRUE,never pay,good,enough,shallow well,hand pump,4
420,813,Far,50,TRUE,per bucket,good,enough,spring,communal standpipe,12
421,1256,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,10
422,57,Near,1,TRUE,never pay,good,enough,shallow well,hand pump,4
424,74,Near,1,TRUE,never pay,good,enough,shallow well,hand pump,19
430,1038,Far,30,TRUE,per bucket,good,enough,river/lake,communal standpipe,6
432,1176,Near,48,TRUE,never pay,good,enough,spring,communal standpipe,15
435,717,Far,1,TRUE,never pay,good,insufficient,spring,communal standpipe,37
442,266,Far,300,TRUE,monthly,good,insufficient,river/lake,communal standpipe,15
444,288,Far,200,TRUE,never pay,good,insufficient,shallow well,hand pump,31
448,899,Near,220,TRUE,annually,good,enough,river/lake,communal standpipe,34
450,241,Near,1,TRUE,never pay,good,dry,borehole,communal standpipe,31
452,1842,Far,85,TRUE,monthly,good,enough,spring,communal standpipe,4
455,306,Near,86,TRUE,never pay,salty,insufficient,borehole,hand pump,12
456,284,Far,500,TRUE,never pay,good,insufficient,shallow well,hand pump,13
457,1929,Far,95,TRUE,monthly,good,enough,spring,communal standpipe,4
458,206,Near,1680,TRUE,never pay,salty,enough,borehole,hand pump,3
460,1566,Far,120,TRUE,annually,good,insufficient,spring,communal standpipe,3
464,1270,Far,1,TRUE,never pay,good,enough,spring,communal standpipe,39
465,2623,Far,210,TRUE,never pay,good,enough,river/lake,communal standpipe,10
466,636,Far,1,FALSE,never pay,good,insufficient,borehole,hand pump,10
467,1066,Far,375,TRUE,never pay,good,insufficient,river/lake,communal standpipe,19
469,288,Near,2000,FALSE,never pay,salty,insufficient,shallow well,hand pump,9
470,1874,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,35
473,279,Far,700,TRUE,monthly,good,enough,shallow well,hand pump,10
475,2116,Far,30,FALSE,monthly,good,enough,spring,communal standpipe,17
476,-32,Near,3226,TRUE,per bucket,good,enough,borehole,communal standpipe,6
478,1573,Far,1,TRUE,never pay,good,enough,spring,communal standpipe,28
483,1409,Far,200,TRUE,per bucket,good,insufficient,spring,communal standpipe,13
487,0,Far,280,TRUE,per bucket,salty,insufficient,borehole,communal standpipe,7
488,1621,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,2
489,1721,Far,50,FALSE,never pay,good,insufficient,spring,communal standpipe,7
493,725,Far,250,FALSE,monthly,good,insufficient,shallow well,hand pump,15
496,1600,Far,140,TRUE,annually,good,insufficient,spring,communal standpipe,35
497,1762,Far,0,TRUE,annually,good,enough,spring,communal standpipe,13
499,19,Near,50,FALSE,per bucket,good,enough,borehole,communal standpipe,4
500,1573,Far,150,TRUE,monthly,good,enough,river/lake,communal standpipe,38
501,963,Far,200,TRUE,annually,salty,enough,borehole,hand pump,3
504,1491,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,5
506,1243,Far,500,FALSE,never pay,good,enough,river/lake,communal standpipe,30
507,988,Far,200,TRUE,never pay,good,insufficient,spring,communal standpipe,35
509,1455,Far,200,TRUE,never pay,good,enough,spring,communal standpipe,3
510,386,Near,250,TRUE,per bucket,salty,enough,borehole,hand pump,4
511,1298,Near,450,TRUE,monthly,good,insufficient,river/lake,communal standpipe,38
513,1527,Far,200,TRUE,per bucket,good,enough,river/lake,communal standpipe,4
519,1794,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,21
522,1337,Far,40,FALSE,monthly,good,enough,river/lake,communal standpipe,5
523,363,Near,140,TRUE,never pay,good,dry,borehole,communal standpipe,4
527,1665,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,13
528,93,Near,650,FALSE,per bucket,good,enough,borehole,hand pump,1
529,682,Far,1,TRUE,per bucket,salty,enough,spring,communal standpipe,3
531,366,Far,50,TRUE,monthly,salty,enough,shallow well,hand pump,19
532,28,Near,200,TRUE,never pay,good,enough,river/lake,communal standpipe,26
534,101,Far,230,TRUE,on failure,good,insufficient,shallow well,hand pump,16
536,1587,Near,163,TRUE,never pay,good,insufficient,spring,communal standpipe,2
537,495,Far,1,TRUE,never pay,good,enough,river/lake,communal standpipe,31
539,317,Far,150,TRUE,never pay,good,insufficient,river/lake,communal standpipe,16
540,72,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,5
543,1711,Far,430,TRUE,annually,good,enough,spring,communal standpipe,3
544,2076,Far,0,FALSE,never pay,good,enough,spring,communal standpipe,29
545,1572,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,33
546,2112,Near,290,TRUE,per bucket,good,enough,spring,communal standpipe,1
547,552,Far,150,TRUE,monthly,good,enough,river/lake,communal standpipe,29
550,1539,Far,100,FALSE,per bucket,good,insufficient,shallow well,hand pump,18
552,1529,Far,100,TRUE,annually,good,enough,river/lake,communal standpipe,28
553,1855,Far,125,TRUE,monthly,good,enough,spring,communal standpipe,4
554,366,Near,2100,FALSE,per bucket,salty,enough,shallow well,hand pump,3
557,45,Near,1,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,5
559,1020,Far,0,TRUE,annually,good,enough,river/lake,communal standpipe,11
561,15,Near,285,FALSE,never pay,good,seasonal,shallow well,hand pump,8
562,458,Far,300,TRUE,monthly,good,enough,shallow well,hand pump,9
563,1452,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,33
564,1722,Far,40,FALSE,monthly,good,enough,spring,communal standpipe,12
567,58,Near,100,FALSE,per bucket,salty,enough,borehole,communal standpipe,3
569,826,Far,180,TRUE,monthly,good,insufficient,river/lake,communal standpipe,23
573,1016,Near,155,TRUE,monthly,good,seasonal,river/lake,communal standpipe,28
574,99,Near,150,TRUE,per bucket,good,insufficient,river/lake,communal standpipe,27
576,140,Near,250,FALSE,never pay,good,seasonal,shallow well,hand pump,18
577,1912,Far,90,FALSE,annually,good,dry,spring,communal standpipe,20
578,360,Near,1200,FALSE,never pay,salty,enough,borehole,hand pump,16
579,1836,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,35
586,1832,Far,1500,TRUE,never pay,good,dry,river/lake,communal standpipe,38
587,529,Far,230,TRUE,never pay,good,enough,river/lake,communal standpipe,46
589,1014,Far,150,TRUE,per bucket,good,insufficient,spring,communal standpipe,4
591,316,Far,80,TRUE,on failure,good,enough,river/lake,communal standpipe,2
594,1521,Near,185,TRUE,per bucket,good,enough,borehole,communal standpipe,6
596,959,Near,560,TRUE,monthly,good,enough,spring,communal standpipe,29
598,1888,Far,50,TRUE,monthly,good,enough,spring,communal standpipe,4
601,873,Near,368,FALSE,never pay,good,enough,shallow well,hand pump,13
605,1683,Far,250,FALSE,never pay,good,enough,borehole,hand pump,8
607,1763,Far,100,TRUE,on failure,good,enough,river/lake,communal standpipe,41
608,289,Near,40,TRUE,never pay,good,enough,river/lake,communal standpipe,35
616,1267,Far,250,FALSE,never pay,good,enough,river/lake,communal standpipe,30
617,1721,Far,25,FALSE,never pay,good,insufficient,spring,communal standpipe,7
618,1785,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,21
620,665,Near,150,FALSE,never pay,good,enough,river/lake,communal standpipe,38
621,1674,Far,1,FALSE,annually,good,enough,spring,communal standpipe,21
622,281,Near,10,TRUE,per bucket,good,enough,river/lake,communal standpipe,10
626,294,Near,520,FALSE,per bucket,salty,insufficient,borehole,hand pump,9
628,178,Near,800,FALSE,per bucket,salty,insufficient,shallow well,hand pump,3
629,189,Near,100,FALSE,never pay,good,seasonal,spring,communal standpipe,14
634,1667,Far,300,TRUE,annually,good,enough,river/lake,communal standpipe,30
636,-17,Near,45,FALSE,per bucket,salty,dry,borehole,communal standpipe,13
638,644,Far,1,FALSE,annually,good,insufficient,borehole,hand pump,21
640,1255,Near,970,TRUE,monthly,good,enough,river/lake,communal standpipe,20
641,2501,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,5
642,995,Far,130,TRUE,never pay,good,insufficient,spring,communal standpipe,41
643,109,Near,630,FALSE,per bucket,good,enough,borehole,communal standpipe,37
644,15,Near,40,TRUE,monthly,good,enough,river/lake,communal standpipe,20
645,665,Far,120,TRUE,never pay,good,enough,river/lake,communal standpipe,46
646,-38,Near,40,TRUE,never pay,good,enough,river/lake,communal standpipe,15
649,27,Near,200,FALSE,per bucket,good,insufficient,shallow well,hand pump,11
650,284,Far,300,TRUE,monthly,good,insufficient,river/lake,communal standpipe,15
653,1420,Near,280,TRUE,monthly,good,insufficient,river/lake,communal standpipe,23
654,1407,Near,750,TRUE,monthly,good,enough,river/lake,communal standpipe,7
655,286,Near,380,TRUE,never pay,good,enough,spring,communal standpipe,38
657,943,Far,50,TRUE,monthly,good,insufficient,spring,communal standpipe,41
661,262,Far,75,TRUE,monthly,good,enough,river/lake,communal standpipe,18
662,-37,Near,345,FALSE,never pay,salty,insufficient,borehole,hand pump,3
663,914,Far,450,FALSE,on failure,good,seasonal,shallow well,hand pump,17
665,328,Far,130,TRUE,per bucket,other,enough,borehole,communal standpipe,6
669,1158,Near,350,FALSE,never pay,good,enough,spring,communal standpipe,4
670,282,Far,40,TRUE,on failure,good,enough,river/lake,communal standpipe,10
672,696,Far,730,TRUE,never pay,good,enough,shallow well,hand pump,23
673,1782,Far,200,FALSE,on failure,good,enough,river/lake,communal standpipe,9
674,238,Near,400,FALSE,never pay,salty,seasonal,shallow well,hand pump,5
675,818,Far,250,TRUE,never pay,good,seasonal,river/lake,communal standpipe,31
676,1989,Far,90,TRUE,monthly,good,enough,spring,communal standpipe,5
682,231,Near,12,TRUE,per bucket,good,enough,river/lake,communal standpipe,8
684,1282,Near,230,TRUE,monthly,good,enough,river/lake,communal standpipe,29
685,159,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,5
695,1249,Far,48,TRUE,never pay,good,insufficient,shallow well,hand pump,13
698,299,Far,150,TRUE,never pay,good,insufficient,shallow well,hand pump,16
699,2000,Far,0,FALSE,never pay,good,enough,spring,communal standpipe,28
702,84,Near,100,FALSE,per bucket,good,enough,borehole,communal standpipe,13
703,1282,Far,150,TRUE,never pay,good,enough,spring,communal standpipe,2
704,1061,Far,0,TRUE,annually,good,enough,spring,communal standpipe,23
706,775,Far,360,FALSE,monthly,good,insufficient,shallow well,hand pump,12
709,413,Far,105,TRUE,monthly,good,enough,shallow well,hand pump,15
711,235,Near,100,FALSE,never pay,good,insufficient,spring,communal standpipe,38
712,575,Far,1,FALSE,on failure,good,enough,river/lake,communal standpipe,21
713,1487,Far,350,TRUE,per bucket,salty,enough,borehole,hand pump,3
716,1149,Far,1,TRUE,never pay,good,insufficient,spring,communal standpipe,35
719,1279,Far,40,TRUE,per bucket,good,enough,spring,communal standpipe,5
722,737,Far,1,FALSE,annually,good,insufficient,borehole,hand pump,21
726,1147,Far,60,TRUE,per bucket,good,enough,spring,communal standpipe,5
727,895,Far,12,TRUE,per bucket,good,insufficient,borehole,communal standpipe,9
729,1545,Far,55,TRUE,monthly,good,enough,river/lake,communal standpipe,35
734,1549,Near,245,TRUE,per bucket,good,insufficient,borehole,communal standpipe,5
735,-36,Near,800,TRUE,per bucket,good,insufficient,borehole,hand pump,35
738,270,Near,1,FALSE,per bucket,good,enough,river/lake,communal standpipe,2
742,632,Far,120,TRUE,monthly,good,insufficient,spring,communal standpipe,8
743,2140,Far,14,FALSE,monthly,good,enough,spring,communal standpipe,5
746,-30,Near,210,TRUE,per bucket,good,seasonal,borehole,communal standpipe,6
747,1811,Far,120,TRUE,monthly,good,enough,spring,communal standpipe,3
748,1584,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,24
752,1654,Near,261,TRUE,never pay,good,insufficient,spring,communal standpipe,9
754,28,Near,300,TRUE,per bucket,good,enough,borehole,communal standpipe,35
757,2052,Near,82,TRUE,never pay,good,enough,river/lake,communal standpipe,37
761,1416,Far,150,TRUE,never pay,good,insufficient,spring,communal standpipe,11
763,1605,Far,500,TRUE,never pay,good,insufficient,river/lake,communal standpipe,41
764,1356,Far,500,FALSE,never pay,good,insufficient,shallow well,hand pump,17
765,306,Far,90,TRUE,on failure,good,enough,river/lake,communal standpipe,2
766,844,Near,450,FALSE,never pay,salty,enough,borehole,communal standpipe,38
767,328,Far,550,TRUE,never pay,good,insufficient,river/lake,communal standpipe,16
768,1631,Near,1,TRUE,monthly,good,enough,spring,communal standpipe,42
772,217,Far,400,TRUE,never pay,good,insufficient,borehole,communal standpipe,6
773,828,Far,360,FALSE,monthly,good,insufficient,shallow well,hand pump,19
774,242,Near,300,FALSE,per bucket,good,enough,spring,communal standpipe,4
779,57,Near,1,FALSE,per bucket,good,enough,borehole,communal standpipe,13
783,1303,Far,50,TRUE,never pay,good,enough,spring,communal standpipe,37
784,-7,Near,1000,FALSE,never pay,good,enough,shallow well,hand pump,2
789,6,Near,200,FALSE,never pay,good,insufficient,borehole,communal standpipe,44
792,1661,Far,35,TRUE,on failure,good,enough,river/lake,communal standpipe,35
793,1418,Far,100,TRUE,annually,good,enough,river/lake,communal standpipe,29
794,1143,Far,120,FALSE,never pay,good,insufficient,river/lake,communal standpipe,11
795,1328,Far,300,FALSE,on failure,good,insufficient,shallow well,hand pump,8
800,101,Near,600,FALSE,never pay,good,enough,river/lake,communal standpipe,35
801,1384,Near,1,TRUE,never pay,good,insufficient,borehole,communal standpipe,7
803,474,Far,1,FALSE,per bucket,good,enough,borehole,hand pump,8
804,307,Far,80,TRUE,monthly,good,enough,shallow well,hand pump,4
808,1747,Far,50,FALSE,monthly,good,enough,spring,communal standpipe,12
809,1211,Far,386,FALSE,per bucket,good,enough,river/lake,communal standpipe,21
812,760,Far,1,TRUE,monthly,good,dry,spring,communal standpipe,28
814,295,Far,300,TRUE,never pay,good,seasonal,shallow well,hand pump,15
817,1576,Far,150,TRUE,monthly,good,insufficient,river/lake,communal standpipe,38
818,323,Near,340,TRUE,never pay,good,insufficient,river/lake,communal standpipe,24
819,123,Far,250,TRUE,monthly,salty,insufficient,borehole,communal standpipe,5
821,425,Near,320,FALSE,never pay,salty,seasonal,shallow well,hand pump,28
822,1255,Far,150,TRUE,per bucket,good,enough,borehole,communal standpipe,3
825,1195,Far,1,TRUE,annually,good,enough,spring,communal standpipe,15
826,1666,Far,150,FALSE,never pay,good,enough,spring,communal standpipe,41
