,region
458,Lindi
460,Kilimanjaro
464,Kilimanjaro
465,Arusha
466,Ruvuma
467,Ruvuma
469,Tanga
470,Tanga
473,Morogoro
475,Iringa
476,Pwani
478,Kilimanjaro
483,Arusha
487,Morogoro
488,Kilimanjaro
489,Iringa
493,Ruvuma
496,Kilimanjaro
497,Iringa
499,Pwani
500,Iringa
501,Rukwa
504,Kilimanjaro
506,Mara
507,Arusha
509,Arusha
510,Mtwara
511,Kigoma
513,Arusha
519,Tanga
522,Iringa
523,Mtwara
527,Tanga
528,Lindi
529,Iringa
531,Morogoro
532,Pwani
534,Morogoro
536,Manyara
537,Morogoro
539,Morogoro
540,Pwani
543,Iringa
544,Iringa
545,Kilimanjaro
546,Manyara
547,Iringa
550,Rukwa
552,Iringa
553,Iringa
554,Mtwara
557,Pwani
559,Ruvuma
561,Pwani
562,Morogoro
563,Kilimanjaro
564,Iringa
567,Dar es Salaam
569,Ruvuma
573,Kigoma
574,Pwani
576,Pwani
577,Iringa
578,Pwani
579,Tanga
586,Rukwa
587,Kilimanjaro
589,Arusha
591,Morogoro
594,Singida
596,Kigoma
598,Iringa
601,Singida
605,Rukwa
607,Rukwa
608,Tanga
616,Mara
617,Iringa
618,Tanga
620,Tanga
621,Iringa
622,Pwani
626,Lindi
628,Tanga
629,Tanga
634,Rukwa
636,Dar es Salaam
638,Ruvuma
640,Kigoma
641,Iringa
642,Kilimanjaro
643,Lindi
644,Pwani
645,Kilimanjaro
646,Pwani
649,Pwani
650,Morogoro
653,Kigoma
654,Kigoma
655,Lindi
657,Kilimanjaro
661,Morogoro
662,Lindi
663,Ruvuma
665,Morogoro
669,Tanga
670,Morogoro
672,Kilimanjaro
673,Iringa
674,Tanga
675,Ruvuma
676,Iringa
682,Pwani
684,Kigoma
685,Pwani
695,Mara
698,Morogoro
699,Iringa
702,Dar es Salaam
703,Arusha
704,Iringa
706,Ruvuma
709,Morogoro
711,Tanga
712,Ruvuma
713,Mara
716,Kilimanjaro
719,Kilimanjaro
722,Ruvuma
726,Kilimanjaro
727,Kilimanjaro
729,Iringa
734,Singida
735,Mtwara
738,Lindi
742,Kilimanjaro
743,Iringa
746,Mtwara
747,Iringa
748,Tanga
752,Manyara
754,Mtwara
757,Manyara
761,Arusha
763,Rukwa
764,Shinyanga
765,Morogoro
766,Singida
767,Morogoro
768,Tanga
772,Morogoro
773,Ruvuma
774,Mtwara
779,Lindi
783,Kilimanjaro
784,Pwani
789,Tanga
792,Iringa
793,Iringa
794,Kilimanjaro
795,Shinyanga
800,Pwani
801,Manyara
803,Ruvuma
804,Morogoro
808,Iringa
809,Mara
812,Iringa
814,Morogoro
817,Iringa
818,Tanga
819,Morogoro
821,Lindi
822,Morogoro
825,Iringa
826,Iringa
830,Iringa
833,Rukwa
836,Tanga
837,Tanga
840,Dar es Salaam
841,Rukwa
843,Pwani
844,Manyara
849,Dar es Salaam
851,Morogoro
856,Morogoro
857,Dar es Salaam
858,Iringa
862,Mtwara
863,Rukwa
865,Mtwara
866,Morogoro
867,Manyara
868,Kilimanjaro
869,Pwani
870,Tanga
873,Tanga
876,Morogoro
878,Kigoma
880,Pwani
881,Kilimanjaro
882,Kilimanjaro
883,Morogoro
884,Pwani
886,Morogoro
888,Iringa
891,Tanga
894,Lindi
896,Morogoro
897,Pwani
898,Kilimanjaro
900,Ruvuma
903,Ruvuma
904,Kilimanjaro
905,Manyara
906,Rukwa
907,Morogoro
910,Iringa
912,Morogoro
913,Arusha
916,Morogoro
917,Kigoma
924,Pwani
927,Iringa
930,Pwani
931,Tanga
934,Iringa
936,Iringa
937,Ruvuma
938,Arusha
942,Kilimanjaro
943,Manyara
944,Tanga
945,Kilimanjaro
947,Iringa
949,Pwani
950,Morogoro
951,Manyara
952,Tanga
957,Tanga
958,Iringa
959,Ruvuma
962,Rukwa
963,Tanga
967,Mtwara
968,Ruvuma
969,Pwani
976,Morogoro
978,Kilimanjaro
979,Tanga
981,Morogoro
986,Ruvuma
988,Iringa
993,Arusha
996,Kigoma
998,Morogoro
1000,Kigoma
1002,Ruvuma
1006,Ruvuma
1007,Iringa
1011,Pwani
1014,Morogoro
1015,Iringa
1016,Morogoro
1018,Tanga
1022,Manyara
1023,Kilimanjaro
1026,Pwani
1027,Tanga
1030,Kilimanjaro
1033,Kigoma
1037,Lindi
1040,Dar es Salaam
1041,Iringa
1042,Ruvuma
1043,Rukwa
1044,Dar es Salaam
1045,Morogoro
1046,Iringa
1047,Kilimanjaro
1048,Iringa
1051,Mara
1056,Iringa
1058,Kilimanjaro
1060,Pwani
1061,Morogoro
1062,Iringa
1063,Ruvuma
1064,Rukwa
1066,Manyara
1068,Dar es Salaam
1070,Dar es Salaam
1072,Morogoro
1073,Morogoro
1074,Mwanza
1076,Tanga
1077,Iringa
1080,Morogoro
1083,Ruvuma
1085,Lindi
1087,Tanga
1088,Morogoro
1090,Iringa
1093,Pwani
1098,Tanga
1099,Kilimanjaro
1100,Iringa
1103,Kilimanjaro
1111,Iringa
1112,Kigoma
1114,Iringa
1115,Manyara
1123,Ruvuma
1125,Iringa
1129,Lindi
1130,Tanga
1131,Kilimanjaro
1132,Manyara
1134,Iringa
1138,Kigoma
1139,Lindi
1143,Lindi
1144,Morogoro
1146,Kigoma
1147,Pwani
1154,Kigoma
1156,Mtwara
1160,Iringa
1161,Morogoro
1166,Kilimanjaro
1170,Ruvuma
1172,Iringa
1174,Kilimanjaro
1175,Pwani
1176,Singida
1177,Iringa
1178,Arusha
1179,Tanga
1184,Pwani
1185,Kigoma
1193,Kilimanjaro
1197,Tanga
1198,Pwani
1199,Tanga
1200,Kilimanjaro
1203,Iringa
1204,Pwani
1205,Rukwa
1207,Kilimanjaro
1209,Ruvuma
1210,Iringa
1215,Mtwara
1216,Tanga
1224,Kigoma
1226,Rukwa
1229,Morogoro
1230,Iringa
1233,Arusha
1235,Lindi
1237,Mtwara
1238,Arusha
1241,Tanga
1242,Ruvuma
1245,Mwanza
1246,Kilimanjaro
1254,Manyara
1258,Manyara
1259,Singida
1260,Lindi
1261,Kilimanjaro
1262,Kilimanjaro
1267,Iringa
1269,Rukwa
1271,Iringa
1272,Mtwara
1273,Morogoro
1274,Mtwara
1275,Kilimanjaro
1277,Singida
1278,Kilimanjaro
1281,Manyara
1283,Morogoro
1284,Iringa
1285,Iringa
1288,Iringa
1289,Kilimanjaro
1290,Kilimanjaro
1291,Shinyanga
1293,Rukwa
1294,Mara
1295,Mtwara
1297,Tanga
1298,Singida
1299,Tanga
1301,Kigoma
1304,Morogoro
1306,Iringa
1308,Kigoma
1309,Pwani
1310,Mtwara
1311,Rukwa
1313,Tanga
1314,Morogoro
1316,Ruvuma
1317,Mwanza
1318,Kilimanjaro
1324,Arusha
1325,Pwani
1327,Kilimanjaro
1329,Tanga
1330,Rukwa
1331,Kigoma
1332,Tanga
1336,Morogoro
1337,Lindi
1340,Mtwara
1342,Ruvuma
1343,Rukwa
1344,Tanga
1350,Rukwa
1352,Kilimanjaro
1355,Kilimanjaro
1356,Kilimanjaro
1358,Iringa
1359,Arusha
1360,Dar es Salaam
1365,Arusha
1366,Iringa
1367,Kigoma
1371,Kigoma
1373,Kilimanjaro
1374,Iringa
1376,Kigoma
1379,Iringa
1381,Iringa
1382,Kilimanjaro
1383,Manyara
1384,Mtwara
1386,Ruvuma
1388,Ruvuma
1389,Rukwa
1390,Manyara
1391,Mtwara
1393,Mtwara
1395,Kigoma
1397,Morogoro
1399,Mtwara
1400,Rukwa
1403,Kilimanjaro
1404,Kilimanjaro
1406,Ruvuma
1410,Arusha
1411,Morogoro
1412,Ruvuma
1414,Morogoro
1416,Tanga
1421,Manyara
1422,Singida
1425,Manyara
1429,Rukwa
1431,Manyara
1432,Mara
1434,Ruvuma
1435,Ruvuma
1437,Tanga
1440,Dar es Salaam
1447,Mtwara
1448,Iringa
1453,Dar es Salaam
1461,Ruvuma
1464,Kilimanjaro
1465,Iringa
1466,Kilimanjaro
1468,Pwani
1470,Kilimanjaro
1471,Morogoro
1474,Mtwara
1475,Ruvuma
1476,Kilimanjaro
1479,Kilimanjaro
1482,Pwani
1485,Iringa
1486,Pwani
1488,Kilimanjaro
1489,Iringa
1490,Morogoro
1491,Lindi
1493,Kilimanjaro
1494,Iringa
1495,Kilimanjaro
1496,Kilimanjaro
1498,Rukwa
1501,Morogoro
1504,Pwani
1505,Rukwa
1507,Arusha
1510,Kilimanjaro
1512,Iringa
1513,Tanga
1514,Iringa
1515,Singida
1517,Kigoma
1518,Manyara
1519,Tanga
1520,Mwanza
1522,Dar es Salaam
1526,Iringa
1527,Arusha
1528,Iringa
1529,Tanga
1532,Kilimanjaro
1534,Rukwa
1537,Kigoma
1539,Ruvuma
1541,Kilimanjaro
1543,Morogoro
1547,Lindi
1548,Mtwara
1550,Arusha
1551,Arusha
1552,Morogoro
1553,Arusha
1556,Pwani
1558,Kigoma
1559,Dar es Salaam
1562,Iringa
1563,Arusha
1568,Iringa
1570,Pwani
1573,Tanga
1575,Tanga
1576,Mtwara
1577,Kigoma
1579,Morogoro
1580,Arusha
1581,Singida
1585,Pwani
1586,Kilimanjaro
1590,Manyara
1591,Rukwa
1594,Iringa
1596,Singida
1597,Kilimanjaro
1603,Morogoro
1605,Mtwara
1608,Iringa
1609,Kilimanjaro
1610,Tanga
1612,Kigoma
1613,Morogoro
1614,Lindi
1616,Manyara
1617,Iringa
1618,Kigoma
1620,Tanga
1621,Tanga
1627,Pwani
1630,Iringa
1631,Tanga
1633,Morogoro
1635,Iringa
1636,Ruvuma
1637,Iringa
1639,Lindi
1640,Kilimanjaro
1643,Kilimanjaro
1648,Tanga
1651,Rukwa
1652,Lindi
1655,Singida
1656,Iringa
1657,Dar es Salaam
1665,Mtwara
1666,Shinyanga
1668,Morogoro
1670,Morogoro
1671,Kilimanjaro
1674,Tanga
1676,Morogoro
1677,Iringa
1681,Morogoro
1682,Morogoro
1684,Shinyanga
1687,Singida
1688,Morogoro
1690,Morogoro
1691,Iringa
1693,Mtwara
1694,Morogoro
1695,Kilimanjaro
1696,Iringa
1700,Manyara
1701,Singida
1702,Singida
1703,Pwani
1705,Rukwa
1706,Manyara
1710,Kilimanjaro
1712,Iringa
1714,Kigoma
1715,Kilimanjaro
1716,Pwani
1718,Morogoro
1719,Rukwa
1722,Singida
1724,Kilimanjaro
1726,Pwani
1729,Rukwa
1730,Rukwa
1731,Ruvuma
1732,Iringa
1733,Kilimanjaro
1740,Kilimanjaro
1742,Morogoro
1744,Kilimanjaro
1745,Iringa
1746,Ruvuma
1751,Iringa
1752,Pwani
1756,Iringa
1758,Mtwara
1759,Morogoro
1762,Mara
1763,Morogoro
1767,Tanga
1768,Singida
1769,Pwani
1771,Iringa
1779,Tanga
1780,Kilimanjaro
1786,Mara
1787,Mtwara
1789,Tanga
1792,Tanga
1799,Arusha
1803,Iringa
1804,Arusha
1805,Kilimanjaro
1806,Lindi
1807,Rukwa
1808,Rukwa
1811,Kigoma
1812,Morogoro
1814,Kigoma
1815,Tanga
1818,Tanga
1819,Ruvuma
1823,Arusha
1824,Arusha
1825,Pwani
1827,Mara
1828,Singida
1832,Kilimanjaro
1833,Iringa
1834,Kilimanjaro
1835,Pwani
1836,Morogoro
1840,Kilimanjaro
1842,Tanga
1843,Iringa
1844,Mtwara
1853,Lindi
1859,Ruvuma
1860,Iringa
1861,Rukwa
1862,Ruvuma
1863,Ruvuma
1868,Dar es Salaam
1874,Kilimanjaro
1876,Iringa
1877,Kilimanjaro
1879,Morogoro
1881,Kilimanjaro
1883,Lindi
1887,Tanga
1889,Pwani
1890,Morogoro
1891,Ruvuma
1894,Iringa
1903,Ruvuma
1904,Kilimanjaro
1905,Kigoma
1906,Iringa
1908,Kigoma
1909,Iringa
1910,Iringa
1912,Morogoro
1915,Morogoro
1917,Mtwara
1919,Tanga
1922,Arusha
1923,Iringa
1924,Mtwara
1925,Iringa
1927,Kilimanjaro
1929,Ruvuma
1931,Tanga
1932,Tanga
1933,Morogoro
1934,Kilimanjaro
1940,Arusha
1941,Tanga
1942,Rukwa
1943,Morogoro
1945,Kilimanjaro
1948,Morogoro
1949,Tanga
1951,Tanga
1952,Tanga
1957,Kilimanjaro
1958,Iringa
1960,Singida
1967,Kilimanjaro
1972,Morogoro
1973,Morogoro
1974,Iringa
1977,Singida
1978,Rukwa
1980,Tanga
1981,Iringa
1984,Arusha
1986,Tanga
1988,Morogoro
1995,Arusha
1999,Kigoma
2002,Kilimanjaro
2006,Kilimanjaro
2008,Manyara
2010,Rukwa
2012,Morogoro
2014,Kilimanjaro
2015,Morogoro
2023,Kilimanjaro
2024,Manyara
2025,Morogoro
2026,Manyara
2028,Iringa
2030,Kilimanjaro
2031,Pwani
2035,Manyara
2036,Morogoro
2037,Kilimanjaro
2038,Kigoma
2042,Mara
2048,Kigoma
2049,Kigoma
2050,Tanga
2052,Kigoma
2053,Kilimanjaro
2056,Morogoro
2059,Morogoro
2061,Tanga
2062,Shinyanga
2063,Kilimanjaro
2066,Morogoro
2067,Kilimanjaro
2072,Arusha
2073,Kilimanjaro
2074,Manyara
2076,Arusha
2077,Kilimanjaro
2084,Kilimanjaro
2086,Mara
2087,Singida
2090,Iringa
2091,Ruvuma
2094,Singida
2095,Mtwara
2097,Morogoro
2098,Morogoro
2100,Kilimanjaro
2101,Morogoro
2104,Arusha
2105,Ruvuma
2106,Arusha
2108,Mtwara
2111,Iringa
2112,Pwani
2116,Iringa
2120,Singida
2121,Iringa
2122,Manyara
2124,Kigoma
2125,Kilimanjaro
2129,Pwani
2131,Lindi
2133,Kilimanjaro
2134,Kilimanjaro
2136,Kilimanjaro
2138,Mwanza
2139,Ruvuma
2145,Iringa
2146,Lindi
2148,Ruvuma
2149,Kilimanjaro
2151,Lindi
2152,Iringa
2153,Iringa
2154,Iringa
2155,Iringa
2156,Iringa
2162,Kigoma
2167,Mwanza
2168,Kilimanjaro
2169,Rukwa
2172,Kilimanjaro
2174,Arusha
2175,Iringa
2177,Morogoro
2178,Kigoma
2179,Mara
2183,Arusha
2184,Mwanza
2185,Iringa
2187,Pwani
2188,Iringa
2191,Morogoro
2192,Kigoma
2193,Pwani
2194,Dar es Salaam
2196,Ruvuma
2198,Iringa
2207,Kilimanjaro
2211,Rukwa
2214,Pwani
2215,Iringa
2216,Morogoro
2217,Kigoma
2219,Mtwara
2220,Singida
2221,Morogoro
2222,Iringa
2226,Dar es Salaam
2233,Arusha
2235,Pwani
2236,Kilimanjaro
2237,Kigoma
2238,Iringa
2243,Pwani
2244,Morogoro
2247,Lindi
2248,Iringa
2254,Kigoma
2255,Morogoro
2256,Pwani
2257,Pwani
2258,Morogoro
2259,Morogoro
2263,Manyara
2265,Morogoro
2266,Kilimanjaro
2267,Tanga
2268,Ruvuma
2270,Singida
2273,Morogoro
2278,Pwani
2280,Pwani
2283,Kigoma
2284,Manyara
2287,Morogoro
2290,Rukwa
2298,Manyara
2300,Iringa
2301,Kilimanjaro
2304,Tanga
2306,Pwani
2307,Kilimanjaro
2309,Iringa
2310,Mwanza
2312,Iringa
2313,Tanga
2316,Morogoro
2318,Morogoro
2319,Morogoro
2320,Pwani
2328,Ruvuma
2329,Manyara
2334,Kilimanjaro
2336,Morogoro
2337,Singida
2340,Tanga
2344,Manyara
2347,Pwani
2349,Morogoro
2350,Iringa
2354,Tanga
2355,Singida
2360,Mwanza
2363,Tanga
2365,Mtwara
2367,Manyara
2370,Lindi
2371,Iringa
2372,Ruvuma
2373,Kilimanjaro
2374,Manyara
2375,Lindi
2376,Iringa
2377,Morogoro
2379,Tanga
2384,Lindi
2388,Arusha
2389,Kilimanjaro
2391,Kilimanjaro
2394,Pwani
2404,Pwani
2405,Morogoro
2411,Kilimanjaro
2413,Dar es Salaam
2414,Morogoro
2417,Kilimanjaro
2419,Tanga
2423,Manyara
2425,Rukwa
2427,Ruvuma
2430,Morogoro
2432,Tanga
2433,Morogoro
2434,Dar es Salaam
2435,Singida
2438,Pwani
2439,Iringa
2441,Morogoro
2442,Arusha
2444,Ruvuma
2449,Kigoma
2450,Tanga
2451,Shinyanga
2452,Kigoma
2453,Kilimanjaro
2455,Iringa
2459,Arusha
2461,Rukwa
2462,Arusha
2463,Kilimanjaro
2464,Arusha
2465,Lindi
2466,Rukwa
2469,Morogoro
2471,Ruvuma
2472,Ruvuma
2473,Mara
2479,Rukwa
2480,Rukwa
2481,Singida
2482,Rukwa
2483,Kigoma
2485,Kilimanjaro
2486,Pwani
2487,Morogoro
2496,Kilimanjaro
2498,Iringa
2501,Kilimanjaro
2503,Rukwa
2504,Kilimanjaro
2507,Iringa
2508,Tanga
2514,Pwani
2516,Ruvuma
2518,Mwanza
2519,Arusha
2520,Iringa
2522,Kilimanjaro
2523,Morogoro
2524,Lindi
2525,Ruvuma
2526,Manyara
2527,Lindi
2528,Kigoma
2531,Morogoro
2532,Singida
2533,Pwani
2534,Pwani
2535,Pwani
2541,Kilimanjaro
2542,Iringa
2546,Iringa
2548,Dar es Salaam
2549,Manyara
2550,Dar es Salaam
2551,Iringa
2555,Morogoro
2557,Lindi
2559,Arusha
2560,Ruvuma
2562,Rukwa
2563,Kilimanjaro
2565,Iringa
2569,Pwani
2571,Rukwa
2575,Singida
2578,Iringa
2581,Iringa
2586,Tanga
2589,Mtwara
2590,Iringa
2591,Manyara
2592,Mwanza
2593,Kilimanjaro
2597,Pwani
2599,Singida
2602,Iringa
2603,Ruvuma
2605,Kilimanjaro
2607,Tanga
2609,Mara
2611,Lindi
2612,Mtwara
2613,Iringa
2618,Mtwara
2620,Manyara
2622,Morogoro
2626,Kilimanjaro
2627,Dar es Salaam
2629,Kilimanjaro
2630,Tanga
2633,Kigoma
2635,Iringa
2636,Mtwara
2637,Mtwara
2638,Rukwa
2641,Morogoro
2645,Manyara
2646,Pwani
2647,Lindi
2648,Iringa
2649,Iringa
2651,Arusha
2654,Kilimanjaro
2656,Kilimanjaro
2658,Kilimanjaro
2659,Singida
2660,Mtwara
2661,Arusha
2663,Ruvuma
2664,Kilimanjaro
2666,Rukwa
2670,Ruvuma
2671,Kilimanjaro
2672,Kilimanjaro
2674,Kilimanjaro
2677,Iringa
2678,Kilimanjaro
2681,Singida
2684,Ruvuma
2685,Morogoro
2687,Kilimanjaro
2688,Singida
2689,Manyara
2690,Pwani
2692,Mtwara
2695,Mara
2696,Kilimanjaro
2697,Mwanza
2698,Kigoma
2699,Iringa
2704,Arusha
2705,Arusha
2706,Iringa
2707,Kilimanjaro
2708,Arusha
2709,Ruvuma
2711,Ruvuma
2713,Kilimanjaro
2717,Iringa
2718,Iringa
2719,Kilimanjaro
2720,Tanga
2722,Ruvuma
2723,Rukwa
2724,Kigoma
2725,Kilimanjaro
2726,Singida
2727,Kilimanjaro
2731,Morogoro
2735,Morogoro
2737,Arusha
2740,Lindi
2741,Morogoro
2743,Iringa
2744,Tanga
2745,Iringa
2747,Singida
2751,Kilimanjaro
2754,Lindi
2757,Arusha
2758,Singida
2761,Rukwa
2766,Mtwara
2773,Ruvuma
2775,Manyara
2777,Morogoro
2778,Iringa
2779,Morogoro
2782,Dar es Salaam
2786,Iringa
2788,Kilimanjaro
2789,Pwani
2791,Rukwa
2792,Ruvuma
2793,Kilimanjaro
2796,Arusha
2798,Morogoro
2799,Iringa
2800,Rukwa
2801,Morogoro
2805,Pwani
2808,Iringa
2812,Iringa
2813,Manyara
2818,Tanga
2820,Tanga
2821,Tanga
2822,Kilimanjaro
2823,Ruvuma
2825,Manyara
2828,Tanga
2829,Pwani
2830,Iringa
2831,Lindi
2832,Mara
2834,Rukwa
2836,Morogoro
2840,Tanga
2841,Manyara
2844,Iringa
2845,Tanga
2846,Iringa
2847,Ruvuma
2848,Manyara
2849,Pwani
2850,Mtwara
2855,Tanga
2856,Morogoro
2857,Pwani
2858,Iringa
2859,Iringa
2860,Tanga
2862,Manyara
2866,Iringa
2870,Iringa
2873,Morogoro
2874,Kigoma
2876,Ruvuma
2878,Pwani
2879,Mtwara
2881,Iringa
2883,Kilimanjaro
2885,Iringa
2886,Iringa
2887,Iringa
2888,Pwani
2889,Tanga
2891,Rukwa
2894,Iringa
2895,Morogoro
2896,Singida
2898,Mtwara
2899,Iringa
2901,Kilimanjaro
2903,Rukwa
2905,Lindi
2908,Lindi
2909,Iringa
2910,Ruvuma
2913,Iringa
2915,Pwani
2917,Arusha
2918,Morogoro
2919,Iringa
2920,Manyara
2921,Kilimanjaro
2923,Mtwara
2927,Tanga
2928,Morogoro
2930,Iringa
2931,Ruvuma
2934,Mara
2936,Ruvuma
2939,Manyara
2940,Ruvuma
2948,Mtwara
2950,Pwani
2954,Iringa
2956,Lindi
2957,Arusha
2959,Iringa
2960,Singida
2962,Iringa
2965,Kilimanjaro
2966,Morogoro
2968,Kilimanjaro
2969,Tanga
2970,Iringa
2973,Kilimanjaro
2978,Kilimanjaro
2979,Ruvuma
2981,Pwani
2984,Iringa
2986,Singida
2987,Mara
2989,Iringa
2990,Kigoma
2992,Iringa
2997,Singida
3001,Kilimanjaro
3002,Kilimanjaro
3006,Manyara
3007,Iringa
3010,Iringa
3011,Iringa
3012,Kilimanjaro
3014,Mtwara
3015,Iringa
3018,Singida
3019,Singida
3020,Pwani
3025,Arusha
3032,Mtwara
3033,Rukwa
3034,Singida
3035,Ruvuma
3038,Rukwa
3039,Iringa
3040,Tanga
3043,Iringa
3046,Mtwara
3047,Arusha
3054,Arusha
3055,Kigoma
3059,Iringa
3060,Iringa
3062,Ruvuma
3063,Tanga
3064,Kigoma
3065,Iringa
3066,Arusha
3067,Kigoma
3072,Pwani
3074,Pwani
3077,Rukwa
3079,Manyara
3081,Singida
3083,Manyara
3085,Kilimanjaro
3087,Tanga
3090,Ruvuma
3091,Pwani
3092,Tanga
3093,Kigoma
3095,Kilimanjaro
3097,Pwani
3099,Kilimanjaro
3101,Iringa
3103,Kigoma
3105,Iringa
3107,Dar es Salaam
3108,Morogoro
3109,Manyara
3111,Morogoro
3112,Pwani
3113,Pwani
3114,Iringa
3115,Iringa
3118,Ruvuma
3119,Iringa
3122,Iringa
3125,Kilimanjaro
3131,Pwani
3134,Morogoro
3135,Pwani
3136,Lindi
3137,Kigoma
3138,Iringa
3140,Tanga
3149,Morogoro
3152,Tanga
3155,Pwani
3160,Iringa
3166,Arusha
3167,Morogoro
3168,Iringa
3170,Kigoma
3172,Kilimanjaro
3175,Kigoma
3177,Morogoro
3178,Rukwa
3182,Mwanza
3183,Rukwa
3184,Morogoro
3186,Morogoro
3187,Manyara
3189,Mtwara
3192,Pwani
3193,Iringa
3194,Arusha
3198,Arusha
3200,Manyara
3202,Ruvuma
3203,Mara
3206,Morogoro
3207,Mara
3209,Tanga
3210,Ruvuma
3211,Tanga
3212,Manyara
3213,Iringa
3218,Pwani
3222,Mara
3223,Ruvuma
3225,Morogoro
3227,Pwani
3228,Ruvuma
3229,Ruvuma
3231,Arusha
3233,Ruvuma
3236,Ruvuma
3237,Kilimanjaro
3238,Iringa
3239,Iringa
3240,Morogoro
3242,Ruvuma
3244,Morogoro
3245,Iringa
3251,Tanga
3253,Lindi
3254,Tanga
3255,Dar es Salaam
3258,Lindi
3259,Iringa
3260,Iringa
3261,Lindi
3262,Pwani
3265,Kilimanjaro
3267,Manyara
3269,Iringa
3272,Kigoma
3274,Morogoro
3275,Kilimanjaro
3280,Arusha
3283,Iringa
3289,Ruvuma
3292,Tanga
3294,Morogoro
3296,Kilimanjaro
3302,Tanga
3303,Singida
3308,Kigoma
3309,Singida
3313,Mwanza
3314,Manyara
3316,Tanga
3319,Singida
3322,Kilimanjaro
3323,Pwani
3324,Dar es Salaam
3330,Rukwa
3333,Iringa
3342,Manyara
3343,Ruvuma
3345,Rukwa
3348,Morogoro
3349,Iringa
3351,Kigoma
3354,Ruvuma
3360,Mtwara
3362,Iringa
3363,Mtwara
3365,Manyara
3366,Iringa
3369,Singida
3372,Pwani
3373,Kigoma
3375,Manyara
3378,Tanga
3381,Morogoro
3382,Pwani
3384,Iringa
3387,Singida
3389,Kilimanjaro
3392,Iringa
3394,Pwani
3395,Iringa
3397,Iringa
3398,Iringa
3399,Pwani
3403,Morogoro
3405,Manyara
3407,Pwani
3408,Rukwa
3409,Ruvuma
3411,Morogoro
3412,Ruvuma
3418,Kilimanjaro
3419,Mtwara
3421,Morogoro
3423,Lindi
3427,Arusha
3429,Kilimanjaro
3433,Mtwara
3435,Iringa
3436,Rukwa
3437,Mara
3443,Ruvuma
3444,Ruvuma
3449,Kilimanjaro
3450,Lindi
3451,Rukwa
3454,Ruvuma
3456,Lindi
3458,Rukwa
3459,Morogoro
