,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group,pop_categ
58,2050,Iringa,50,TRUE,FALSE,6,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional,Second
59,11,Lindi,1,FALSE,FALSE,7,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,non functional,First
60,471,Morogoro,150,TRUE,TRUE,9,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Third
61,1603,Iringa,40,TRUE,FALSE,3,rope pump,vwc,on failure,good,enough,borehole,hand pump,functional,Second
62,531,Ruvuma,1,FALSE,FALSE,4,other handpump,vwc,monthly,good,enough,borehole,hand pump,non functional,First
63,1562,Iringa,250,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,borehole,hand pump,functional,Third
64,1445,Iringa,80,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional,Second
65,1242,Kigoma,560,TRUE,TRUE,36,gravity,water board,annually,good,enough,river/lake,communal standpipe,functional,Fourth
66,262,Mtwara,36,TRUE,TRUE,9,gravity,vwc,per bucket,good,seasonal,spring,communal standpipe,functional,Second
67,935,Ruvuma,540,TRUE,TRUE,30,gravity,vwc,on failure,good,seasonal,river/lake,communal standpipe,functional,Fourth
68,823,Rukwa,300,TRUE,TRUE,41,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional,Third
69,217,Pwani,12,TRUE,TRUE,3,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional,First
70,253,Morogoro,450,TRUE,TRUE,16,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional,Fourth
71,1783,Rukwa,50,TRUE,TRUE,41,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional,Second
72,961,Manyara,245,TRUE,TRUE,1,nira/tanira,vwc,never pay,fluoride,enough,shallow well,hand pump,functional,Third
73,183,Tanga,600,TRUE,FALSE,5,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,non functional,Fourth
74,1592,Iringa,1,TRUE,TRUE,29,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
75,1485,Rukwa,59,TRUE,FALSE,27,india mark ii,vwc,never pay,good,enough,borehole,hand pump,non functional,Second
76,1823,Iringa,1,TRUE,TRUE,4,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional,First
77,1705,Iringa,0,TRUE,TRUE,13,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional,First
78,128,Pwani,50,TRUE,TRUE,3,submersible,wua,per bucket,good,enough,river/lake,communal standpipe,non functional,Second
79,1768,Iringa,25,TRUE,TRUE,26,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional,Second
80,232,Mtwara,150,TRUE,TRUE,2,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional,Third
81,1567,Kilimanjaro,500,TRUE,TRUE,35,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional,Fourth
82,1607,Kilimanjaro,1,TRUE,TRUE,51,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional,First
83,1135,Mara,100,TRUE,TRUE,35,gravity,parastatal,per bucket,good,enough,river/lake,communal standpipe,non functional,Second
84,1768,Iringa,40,TRUE,FALSE,3,rope pump,vwc,monthly,good,enough,borehole,hand pump,functional,Second
85,1593,Iringa,40,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,borehole,hand pump,functional,Second
86,205,Pwani,100,TRUE,TRUE,31,submersible,vwc,per bucket,good,enough,dam,communal standpipe,non functional,Second
87,1685,Arusha,200,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Third
88,1055,Kilimanjaro,450,TRUE,TRUE,2,gravity,water board,monthly,good,insufficient,spring,communal standpipe,functional needs repair,Fourth
89,744,Kilimanjaro,1,TRUE,TRUE,37,gravity,water authority,monthly,good,insufficient,spring,communal standpipe,functional needs repair,First
90,1897,Arusha,150,TRUE,TRUE,13,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional,Third
91,1661,Kilimanjaro,140,TRUE,TRUE,11,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional needs repair,Third
92,1071,Kigoma,570,TRUE,TRUE,8,gravity,private operator,monthly,good,insufficient,river/lake,communal standpipe,functional,Fourth
93,120,Pwani,1,TRUE,TRUE,25,mono,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional,First
94,966,Morogoro,700,TRUE,TRUE,17,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional,Fourth
95,0,Tanga,120,TRUE,TRUE,14,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,functional,Second
96,508,Mtwara,630,TRUE,FALSE,7,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional,Fourth
97,1556,Manyara,270,TRUE,TRUE,5,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional,Third
98,373,Morogoro,1,TRUE,TRUE,8,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair,First
99,1261,Morogoro,250,TRUE,TRUE,7,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional,Third
100,1007,Iringa,1,TRUE,TRUE,24,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
101,1114,Iringa,1,TRUE,TRUE,22,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
102,165,Tanga,1000,TRUE,FALSE,9,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Fourth
103,1421,Kilimanjaro,30,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Second
104,-19,Pwani,500,TRUE,FALSE,6,swn 80,vwc,never pay,good,dry,shallow well,hand pump,non functional,Fourth
105,1244,Iringa,55,TRUE,TRUE,4,gravity,wua,monthly,good,seasonal,river/lake,communal standpipe,functional,Second
106,357,Mtwara,1700,TRUE,TRUE,38,mono,vwc,per bucket,salty,enough,borehole,communal standpipe,functional,Fourth
107,1612,Kilimanjaro,1,TRUE,TRUE,53,gravity,wua,never pay,good,insufficient,spring,communal standpipe,non functional,First
108,1790,Iringa,0,TRUE,FALSE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
109,1591,Iringa,1,TRUE,TRUE,29,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
110,844,Singida,250,TRUE,FALSE,39,mono,vwc,never pay,good,enough,borehole,communal standpipe,non functional,Third
111,1572,Kigoma,320,TRUE,TRUE,5,gravity,water board,monthly,good,enough,spring,improved spring,functional needs repair,Fourth
112,338,Mtwara,2530,TRUE,TRUE,39,mono,vwc,per bucket,salty,enough,borehole,communal standpipe,functional,Fourth
113,326,Morogoro,1,TRUE,TRUE,18,gravity,wug,never pay,good,enough,river/lake,communal standpipe,functional,First
114,1445,Kilimanjaro,80,TRUE,FALSE,41,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Second
115,1343,Kigoma,50,TRUE,TRUE,31,gravity,water board,monthly,good,insufficient,river/lake,communal standpipe,functional,Second
116,1564,Arusha,150,TRUE,TRUE,11,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional,Third
117,991,Kigoma,150,FALSE,TRUE,16,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair,Third
118,1822,Rukwa,0,TRUE,TRUE,22,india mark ii,vwc,monthly,good,seasonal,borehole,hand pump,functional,First
119,524,Morogoro,450,TRUE,TRUE,43,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional,Fourth
120,1542,Singida,230,TRUE,TRUE,15,afridev,vwc,never pay,good,enough,shallow well,hand pump,non functional,Third
121,1602,Arusha,150,TRUE,TRUE,21,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Third
122,201,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional,First
123,334,Mtwara,36,TRUE,TRUE,35,nira/tanira,vwc,never pay,salty,dry,shallow well,hand pump,non functional,Second
124,1773,Manyara,150,TRUE,TRUE,3,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair,Third
125,828,Ruvuma,900,TRUE,TRUE,3,gravity,parastatal,never pay,good,dry,river/lake,communal standpipe,non functional,Fourth
126,290,Pwani,500,TRUE,FALSE,16,nira/tanira,private operator,never pay,good,dry,borehole,hand pump,non functional,Fourth
127,1632,Rukwa,200,TRUE,FALSE,29,india mark ii,vwc,never pay,good,insufficient,borehole,hand pump,functional,Third
128,237,Tanga,150,TRUE,FALSE,14,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,non functional,Third
129,1715,Rukwa,1,FALSE,TRUE,39,submersible,vwc,never pay,good,enough,spring,communal standpipe,non functional,First
130,847,Kigoma,450,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Fourth
131,482,Ruvuma,86,TRUE,TRUE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Second
132,1652,Iringa,25,TRUE,TRUE,19,gravity,wua,on failure,good,enough,river/lake,communal standpipe,functional,Second
133,572,Ruvuma,1,TRUE,FALSE,15,swn 80,vwc,annually,good,enough,borehole,hand pump,functional,First
134,2179,Iringa,75,TRUE,TRUE,13,gravity,vwc,annually,good,dry,spring,communal standpipe,non functional,Second
135,293,Morogoro,300,TRUE,TRUE,29,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional,Third
136,1666,Rukwa,240,TRUE,FALSE,5,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional,Third
137,887,Morogoro,203,TRUE,TRUE,18,gravity,wug,monthly,good,enough,spring,communal standpipe,functional,Third
138,1479,Arusha,200,TRUE,TRUE,14,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Third
139,1604,Manyara,215,TRUE,TRUE,8,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Third
140,480,Ruvuma,98,TRUE,TRUE,21,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Second
141,161,Morogoro,160,TRUE,TRUE,11,nira/tanira,vwc,monthly,salty,enough,shallow well,hand pump,functional,Third
142,226,Mtwara,450,TRUE,TRUE,1,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional,Fourth
143,917,Manyara,200,TRUE,TRUE,13,submersible,water authority,per bucket,good,enough,borehole,communal standpipe,functional,Third
144,1284,Kigoma,1200,TRUE,TRUE,37,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Fourth
145,960,Arusha,300,TRUE,TRUE,43,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional,Third
146,1200,Arusha,200,TRUE,TRUE,5,gravity,vwc,on failure,good,insufficient,river/lake,communal standpipe,functional,Third
147,1669,Iringa,0,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
148,1325,Kigoma,210,TRUE,TRUE,25,gravity,water board,monthly,good,enough,river/lake,communal standpipe,non functional,Third
149,260,Morogoro,300,TRUE,TRUE,18,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional,Third
150,256,Morogoro,120,TRUE,TRUE,9,nira/tanira,vwc,never pay,good,insufficient,shallow well,hand pump,functional,Second
151,1726,Arusha,100,TRUE,TRUE,11,gravity,vwc,annually,colored,enough,river/lake,communal standpipe,functional,Second
152,317,Morogoro,500,TRUE,TRUE,5,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional,Fourth
153,901,Ruvuma,300,TRUE,TRUE,18,india mark ii,vwc,on failure,good,seasonal,shallow well,hand pump,functional,Third
154,1689,Iringa,50,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional,Second
155,-45,Pwani,1,TRUE,TRUE,7,mono,vwc,per bucket,good,enough,borehole,communal standpipe,non functional,First
156,513,Ruvuma,1,TRUE,FALSE,14,swn 80,vwc,per bucket,good,enough,borehole,hand pump,functional,First
157,674,Ruvuma,1,TRUE,FALSE,2,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional needs repair,First
158,701,Kilimanjaro,400,TRUE,TRUE,4,submersible,wua,monthly,good,insufficient,borehole,communal standpipe,functional,Fourth
159,980,Kilimanjaro,100,TRUE,TRUE,41,gravity,water board,never pay,good,insufficient,spring,communal standpipe,functional needs repair,Second
160,1580,Arusha,250,TRUE,TRUE,11,gravity,vwc,per bucket,good,insufficient,river/lake,communal standpipe,functional,Third
161,1362,Shinyanga,450,TRUE,FALSE,5,nira/tanira,wug,never pay,good,enough,shallow well,hand pump,functional,Fourth
162,995,Ruvuma,0,TRUE,TRUE,29,gravity,vwc,on failure,good,insufficient,spring,communal standpipe,functional,First
163,1020,Arusha,100,TRUE,TRUE,3,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional,Second
164,1694,Iringa,95,TRUE,TRUE,21,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Second
165,1804,Iringa,130,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,Second
166,1576,Kilimanjaro,80,TRUE,TRUE,10,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional,Second
167,1772,Iringa,0,TRUE,TRUE,13,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
168,729,Ruvuma,360,TRUE,FALSE,14,swn 80,wug,monthly,good,insufficient,shallow well,hand pump,non functional,Fourth
169,459,Morogoro,250,TRUE,TRUE,9,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Third
170,965,Arusha,159,TRUE,TRUE,45,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Third
171,1529,Iringa,1,TRUE,TRUE,28,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
172,486,Morogoro,130,TRUE,TRUE,33,swn 80,vwc,never pay,salty,enough,shallow well,hand pump,functional needs repair,Second
173,375,Ruvuma,1,TRUE,FALSE,6,swn 80,vwc,monthly,good,enough,borehole,hand pump,functional,First
174,743,Rukwa,1,FALSE,FALSE,39,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional,First
175,1001,Kilimanjaro,70,TRUE,FALSE,20,gravity,water board,never pay,good,insufficient,spring,communal standpipe,functional needs repair,Second
176,1680,Iringa,35,TRUE,FALSE,21,gravity,vwc,on failure,good,dry,spring,communal standpipe,non functional,Second
177,501,Ruvuma,65,TRUE,TRUE,21,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional,Second
178,466,Morogoro,250,TRUE,TRUE,4,india mark ii,vwc,never pay,good,enough,shallow well,hand pump,functional,Third
179,813,Kilimanjaro,50,TRUE,TRUE,12,gravity,wua,per bucket,good,enough,spring,communal standpipe,functional,Second
180,1256,Kilimanjaro,1,TRUE,TRUE,10,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
181,74,Pwani,1,TRUE,TRUE,19,afridev,vwc,never pay,good,enough,shallow well,hand pump,non functional,First
182,1038,Kilimanjaro,30,TRUE,TRUE,6,gravity,water board,per bucket,good,enough,river/lake,communal standpipe,functional,Second
183,1176,Manyara,48,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Second
184,717,Kilimanjaro,1,TRUE,TRUE,37,gravity,water authority,never pay,good,insufficient,spring,communal standpipe,non functional,First
185,118,Pwani,1,TRUE,TRUE,5,gravity,vwc,never pay,good,seasonal,rainwater harvesting,communal standpipe,non functional,First
186,266,Morogoro,300,TRUE,TRUE,15,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair,Third
187,288,Morogoro,200,TRUE,TRUE,31,swn 80,vwc,never pay,good,insufficient,shallow well,hand pump,functional,Third
188,899,Kigoma,220,TRUE,TRUE,34,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional,Third
189,241,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional,First
190,1842,Iringa,85,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,Second
191,306,Mtwara,86,TRUE,TRUE,12,india mark ii,vwc,never pay,salty,insufficient,borehole,hand pump,functional,Second
192,284,Morogoro,500,TRUE,TRUE,13,swn 80,vwc,never pay,good,insufficient,shallow well,hand pump,non functional,Fourth
193,1929,Iringa,95,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,Second
194,206,Lindi,1680,TRUE,TRUE,3,india mark ii,vwc,never pay,salty,enough,borehole,hand pump,functional,Fourth
195,1566,Kilimanjaro,120,TRUE,TRUE,3,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional,Second
196,30,Pwani,60,TRUE,FALSE,35,submersible,vwc,never pay,colored,insufficient,dam,communal standpipe,non functional,Second
197,1270,Kilimanjaro,1,TRUE,TRUE,39,gravity,company,never pay,good,enough,spring,communal standpipe,functional,First
198,2623,Arusha,210,TRUE,TRUE,10,gravity,parastatal,never pay,good,enough,river/lake,communal standpipe,functional,Third
199,1066,Ruvuma,375,TRUE,TRUE,19,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional,Fourth
200,288,Tanga,2000,TRUE,FALSE,9,afridev,vwc,never pay,salty,insufficient,shallow well,hand pump,non functional,Fourth
201,1874,Tanga,1,TRUE,TRUE,35,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
202,279,Morogoro,700,TRUE,TRUE,10,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional,Fourth
203,2116,Iringa,30,TRUE,FALSE,17,submersible,vwc,monthly,good,enough,spring,communal standpipe,non functional,Second
204,-32,Pwani,3226,TRUE,TRUE,6,mono,private operator,per bucket,good,enough,borehole,communal standpipe,functional,Fourth
205,1573,Kilimanjaro,1,TRUE,TRUE,28,gravity,company,never pay,good,enough,spring,communal standpipe,non functional,First
206,1409,Arusha,200,TRUE,TRUE,13,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional,Third
207,0,Morogoro,280,TRUE,TRUE,7,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,non functional,Third
208,1621,Kilimanjaro,1,TRUE,TRUE,2,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
209,1721,Iringa,50,TRUE,FALSE,7,submersible,vwc,never pay,good,insufficient,spring,communal standpipe,non functional,Second
210,725,Ruvuma,250,TRUE,FALSE,15,nira/tanira,wug,monthly,good,insufficient,shallow well,hand pump,functional,Third
211,765,Ruvuma,1,FALSE,FALSE,4,submersible,private operator,per bucket,good,enough,dam,communal standpipe,non functional,First
212,1600,Kilimanjaro,140,TRUE,TRUE,35,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional needs repair,Third
213,1762,Iringa,0,TRUE,TRUE,13,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
214,19,Pwani,50,TRUE,FALSE,4,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional,Second
215,1573,Iringa,150,TRUE,TRUE,38,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional,Third
216,963,Rukwa,200,TRUE,TRUE,3,india mark ii,vwc,annually,salty,enough,borehole,hand pump,functional,Third
217,1491,Kilimanjaro,1,TRUE,TRUE,5,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional,First
218,1243,Mara,500,FALSE,FALSE,30,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional,Fourth
219,988,Arusha,200,TRUE,TRUE,35,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Third
220,1455,Arusha,200,TRUE,TRUE,3,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,Third
221,386,Mtwara,250,TRUE,TRUE,4,india mark ii,vwc,per bucket,salty,enough,borehole,hand pump,non functional,Third
222,1298,Kigoma,450,TRUE,TRUE,38,gravity,water board,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair,Fourth
223,1527,Arusha,200,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional,Third
224,1794,Tanga,1,TRUE,TRUE,21,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
225,1337,Iringa,40,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Second
226,363,Mtwara,140,TRUE,TRUE,4,mono,vwc,never pay,good,dry,borehole,communal standpipe,non functional,Third
227,1665,Tanga,1,TRUE,TRUE,13,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
228,93,Lindi,650,TRUE,FALSE,1,india mark ii,vwc,per bucket,good,enough,borehole,hand pump,functional,Fourth
229,682,Iringa,1,TRUE,TRUE,3,gravity,vwc,per bucket,salty,enough,spring,communal standpipe,functional,First
230,366,Morogoro,50,TRUE,TRUE,19,swn 80,vwc,monthly,salty,enough,shallow well,hand pump,functional,Second
231,28,Pwani,200,TRUE,TRUE,26,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional,Third
