,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group
73,183,Tanga,600,TRUE,FALSE,5,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,non functional
74,1592,Iringa,1,TRUE,TRUE,29,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
75,1485,Rukwa,59,TRUE,FALSE,27,india mark ii,vwc,never pay,good,enough,borehole,hand pump,non functional
76,1823,Iringa,1,TRUE,TRUE,4,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional
77,1705,Iringa,0,TRUE,TRUE,13,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional
78,128,Pwani,50,TRUE,TRUE,3,submersible,wua,per bucket,good,enough,river/lake,communal standpipe,non functional
79,1768,Iringa,25,TRUE,TRUE,26,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional
80,232,Mtwara,150,TRUE,TRUE,2,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional
81,1567,Kilimanjaro,500,TRUE,TRUE,35,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional
82,1607,Kilimanjaro,1,TRUE,TRUE,51,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional
83,1135,Mara,100,TRUE,TRUE,35,gravity,parastatal,per bucket,good,enough,river/lake,communal standpipe,non functional
84,1768,Iringa,40,TRUE,FALSE,3,rope pump,vwc,monthly,good,enough,borehole,hand pump,functional
85,1593,Iringa,40,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,borehole,hand pump,functional
86,205,Pwani,100,TRUE,TRUE,31,submersible,vwc,per bucket,good,enough,dam,communal standpipe,non functional
87,1685,Arusha,200,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
88,1055,Kilimanjaro,450,TRUE,TRUE,2,gravity,water board,monthly,good,insufficient,spring,communal standpipe,functional needs repair
89,744,Kilimanjaro,1,TRUE,TRUE,37,gravity,water authority,monthly,good,insufficient,spring,communal standpipe,functional needs repair
90,1897,Arusha,150,TRUE,TRUE,13,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional
91,1661,Kilimanjaro,140,TRUE,TRUE,11,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional needs repair
92,1071,Kigoma,570,TRUE,TRUE,8,gravity,private operator,monthly,good,insufficient,river/lake,communal standpipe,functional
93,120,Pwani,1,TRUE,TRUE,25,mono,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional
94,966,Morogoro,700,TRUE,TRUE,17,swn 80,vwc,never pay,good,enough,shallow well,hand pump,functional
95,0,Tanga,120,TRUE,TRUE,14,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,functional
96,508,Mtwara,630,TRUE,FALSE,7,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional
97,1556,Manyara,270,TRUE,TRUE,5,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional
98,373,Morogoro,1,TRUE,TRUE,8,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair
99,1261,Morogoro,250,TRUE,TRUE,7,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional
100,1007,Iringa,1,TRUE,TRUE,24,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
101,1114,Iringa,1,TRUE,TRUE,22,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
102,165,Tanga,1000,TRUE,FALSE,9,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
103,1421,Kilimanjaro,30,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
104,-19,Pwani,500,TRUE,FALSE,6,swn 80,vwc,never pay,good,dry,shallow well,hand pump,non functional
105,1244,Iringa,55,TRUE,TRUE,4,gravity,wua,monthly,good,seasonal,river/lake,communal standpipe,functional
106,357,Mtwara,1700,TRUE,TRUE,38,mono,vwc,per bucket,salty,enough,borehole,communal standpipe,functional
107,1612,Kilimanjaro,1,TRUE,TRUE,53,gravity,wua,never pay,good,insufficient,spring,communal standpipe,non functional
108,1790,Iringa,0,TRUE,FALSE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
109,1591,Iringa,1,TRUE,TRUE,29,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
110,844,Singida,250,TRUE,FALSE,39,mono,vwc,never pay,good,enough,borehole,communal standpipe,non functional
111,1572,Kigoma,320,TRUE,TRUE,5,gravity,water board,monthly,good,enough,spring,improved spring,functional needs repair
112,338,Mtwara,2530,TRUE,TRUE,39,mono,vwc,per bucket,salty,enough,borehole,communal standpipe,functional
113,326,Morogoro,1,TRUE,TRUE,18,gravity,wug,never pay,good,enough,river/lake,communal standpipe,functional
114,1445,Kilimanjaro,80,TRUE,FALSE,41,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
115,1343,Kigoma,50,TRUE,TRUE,31,gravity,water board,monthly,good,insufficient,river/lake,communal standpipe,functional
116,1564,Arusha,150,TRUE,TRUE,11,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional
117,991,Kigoma,150,FALSE,TRUE,16,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair
118,1822,Rukwa,0,TRUE,TRUE,22,india mark ii,vwc,monthly,good,seasonal,borehole,hand pump,functional
119,524,Morogoro,450,TRUE,TRUE,43,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional
120,1542,Singida,230,TRUE,TRUE,15,afridev,vwc,never pay,good,enough,shallow well,hand pump,non functional
121,1602,Arusha,150,TRUE,TRUE,21,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
122,201,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional
123,334,Mtwara,36,TRUE,TRUE,35,nira/tanira,vwc,never pay,salty,dry,shallow well,hand pump,non functional
124,1773,Manyara,150,TRUE,TRUE,3,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair
125,828,Ruvuma,900,TRUE,TRUE,3,gravity,parastatal,never pay,good,dry,river/lake,communal standpipe,non functional
126,290,Pwani,500,TRUE,FALSE,16,nira/tanira,private operator,never pay,good,dry,borehole,hand pump,non functional
127,1632,Rukwa,200,TRUE,FALSE,29,india mark ii,vwc,never pay,good,insufficient,borehole,hand pump,functional
128,237,Tanga,150,TRUE,FALSE,14,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,non functional
129,1715,Rukwa,1,FALSE,TRUE,39,submersible,vwc,never pay,good,enough,spring,communal standpipe,non functional
130,847,Kigoma,450,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
131,482,Ruvuma,86,TRUE,TRUE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
132,1652,Iringa,25,TRUE,TRUE,19,gravity,wua,on failure,good,enough,river/lake,communal standpipe,functional
133,572,Ruvuma,1,TRUE,FALSE,15,swn 80,vwc,annually,good,enough,borehole,hand pump,functional
134,2179,Iringa,75,TRUE,TRUE,13,gravity,vwc,annually,good,dry,spring,communal standpipe,non functional
135,293,Morogoro,300,TRUE,TRUE,29,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional
136,1666,Rukwa,240,TRUE,FALSE,5,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional
137,887,Morogoro,203,TRUE,TRUE,18,gravity,wug,monthly,good,enough,spring,communal standpipe,functional
138,1479,Arusha,200,TRUE,TRUE,14,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
139,1604,Manyara,215,TRUE,TRUE,8,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
140,480,Ruvuma,98,TRUE,TRUE,21,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
141,161,Morogoro,160,TRUE,TRUE,11,nira/tanira,vwc,monthly,salty,enough,shallow well,hand pump,functional
142,226,Mtwara,450,TRUE,TRUE,1,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional
143,917,Manyara,200,TRUE,TRUE,13,submersible,water authority,per bucket,good,enough,borehole,communal standpipe,functional
144,1284,Kigoma,1200,TRUE,TRUE,37,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
145,960,Arusha,300,TRUE,TRUE,43,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional
146,1200,Arusha,200,TRUE,TRUE,5,gravity,vwc,on failure,good,insufficient,river/lake,communal standpipe,functional
147,1669,Iringa,0,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
148,1325,Kigoma,210,TRUE,TRUE,25,gravity,water board,monthly,good,enough,river/lake,communal standpipe,non functional
149,260,Morogoro,300,TRUE,TRUE,18,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional
150,256,Morogoro,120,TRUE,TRUE,9,nira/tanira,vwc,never pay,good,insufficient,shallow well,hand pump,functional
151,1726,Arusha,100,TRUE,TRUE,11,gravity,vwc,annually,colored,enough,river/lake,communal standpipe,functional
152,317,Morogoro,500,TRUE,TRUE,5,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional
153,901,Ruvuma,300,TRUE,TRUE,18,india mark ii,vwc,on failure,good,seasonal,shallow well,hand pump,functional
154,1689,Iringa,50,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional
155,-45,Pwani,1,TRUE,TRUE,7,mono,vwc,per bucket,good,enough,borehole,communal standpipe,non functional
156,513,Ruvuma,1,TRUE,FALSE,14,swn 80,vwc,per bucket,good,enough,borehole,hand pump,functional
157,674,Ruvuma,1,TRUE,FALSE,2,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional needs repair
158,701,Kilimanjaro,400,TRUE,TRUE,4,submersible,wua,monthly,good,insufficient,borehole,communal standpipe,functional
159,980,Kilimanjaro,100,TRUE,TRUE,41,gravity,water board,never pay,good,insufficient,spring,communal standpipe,functional needs repair
160,1580,Arusha,250,TRUE,TRUE,11,gravity,vwc,per bucket,good,insufficient,river/lake,communal standpipe,functional
161,1362,Shinyanga,450,TRUE,FALSE,5,nira/tanira,wug,never pay,good,enough,shallow well,hand pump,functional
162,995,Ruvuma,0,TRUE,TRUE,29,gravity,vwc,on failure,good,insufficient,spring,communal standpipe,functional
163,1020,Arusha,100,TRUE,TRUE,3,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional
164,1694,Iringa,95,TRUE,TRUE,21,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
165,1804,Iringa,130,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
166,1576,Kilimanjaro,80,TRUE,TRUE,10,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional
167,1772,Iringa,0,TRUE,TRUE,13,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
168,729,Ruvuma,360,TRUE,FALSE,14,swn 80,wug,monthly,good,insufficient,shallow well,hand pump,non functional
169,459,Morogoro,250,TRUE,TRUE,9,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
170,965,Arusha,159,TRUE,TRUE,45,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
171,1529,Iringa,1,TRUE,TRUE,28,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
172,486,Morogoro,130,TRUE,TRUE,33,swn 80,vwc,never pay,salty,enough,shallow well,hand pump,functional needs repair
173,375,Ruvuma,1,TRUE,FALSE,6,swn 80,vwc,monthly,good,enough,borehole,hand pump,functional
174,743,Rukwa,1,FALSE,FALSE,39,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
175,1001,Kilimanjaro,70,TRUE,FALSE,20,gravity,water board,never pay,good,insufficient,spring,communal standpipe,functional needs repair
176,1680,Iringa,35,TRUE,FALSE,21,gravity,vwc,on failure,good,dry,spring,communal standpipe,non functional
177,501,Ruvuma,65,TRUE,TRUE,21,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional
178,466,Morogoro,250,TRUE,TRUE,4,india mark ii,vwc,never pay,good,enough,shallow well,hand pump,functional
179,813,Kilimanjaro,50,TRUE,TRUE,12,gravity,wua,per bucket,good,enough,spring,communal standpipe,functional
180,1256,Kilimanjaro,1,TRUE,TRUE,10,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
181,74,Pwani,1,TRUE,TRUE,19,afridev,vwc,never pay,good,enough,shallow well,hand pump,non functional
182,1038,Kilimanjaro,30,TRUE,TRUE,6,gravity,water board,per bucket,good,enough,river/lake,communal standpipe,functional
183,1176,Manyara,48,TRUE,TRUE,15,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
184,717,Kilimanjaro,1,TRUE,TRUE,37,gravity,water authority,never pay,good,insufficient,spring,communal standpipe,non functional
185,118,Pwani,1,TRUE,TRUE,5,gravity,vwc,never pay,good,seasonal,rainwater harvesting,communal standpipe,non functional
186,266,Morogoro,300,TRUE,TRUE,15,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair
187,288,Morogoro,200,TRUE,TRUE,31,swn 80,vwc,never pay,good,insufficient,shallow well,hand pump,functional
188,899,Kigoma,220,TRUE,TRUE,34,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
189,241,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional
190,1842,Iringa,85,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
191,306,Mtwara,86,TRUE,TRUE,12,india mark ii,vwc,never pay,salty,insufficient,borehole,hand pump,functional
192,284,Morogoro,500,TRUE,TRUE,13,swn 80,vwc,never pay,good,insufficient,shallow well,hand pump,non functional
193,1929,Iringa,95,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
194,206,Lindi,1680,TRUE,TRUE,3,india mark ii,vwc,never pay,salty,enough,borehole,hand pump,functional
195,1566,Kilimanjaro,120,TRUE,TRUE,3,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional
196,30,Pwani,60,TRUE,FALSE,35,submersible,vwc,never pay,colored,insufficient,dam,communal standpipe,non functional
197,1270,Kilimanjaro,1,TRUE,TRUE,39,gravity,company,never pay,good,enough,spring,communal standpipe,functional
198,2623,Arusha,210,TRUE,TRUE,10,gravity,parastatal,never pay,good,enough,river/lake,communal standpipe,functional
199,1066,Ruvuma,375,TRUE,TRUE,19,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional
200,288,Tanga,2000,TRUE,FALSE,9,afridev,vwc,never pay,salty,insufficient,shallow well,hand pump,non functional
201,1874,Tanga,1,TRUE,TRUE,35,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
202,279,Morogoro,700,TRUE,TRUE,10,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional
203,2116,Iringa,30,TRUE,FALSE,17,submersible,vwc,monthly,good,enough,spring,communal standpipe,non functional
204,-32,Pwani,3226,TRUE,TRUE,6,mono,private operator,per bucket,good,enough,borehole,communal standpipe,functional
205,1573,Kilimanjaro,1,TRUE,TRUE,28,gravity,company,never pay,good,enough,spring,communal standpipe,non functional
206,1409,Arusha,200,TRUE,TRUE,13,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,non functional
207,0,Morogoro,280,TRUE,TRUE,7,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,non functional
208,1621,Kilimanjaro,1,TRUE,TRUE,2,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
209,1721,Iringa,50,TRUE,FALSE,7,submersible,vwc,never pay,good,insufficient,spring,communal standpipe,non functional
210,725,Ruvuma,250,TRUE,FALSE,15,nira/tanira,wug,monthly,good,insufficient,shallow well,hand pump,functional
211,765,Ruvuma,1,FALSE,FALSE,4,submersible,private operator,per bucket,good,enough,dam,communal standpipe,non functional
212,1600,Kilimanjaro,140,TRUE,TRUE,35,gravity,vwc,annually,good,insufficient,spring,communal standpipe,functional needs repair
213,1762,Iringa,0,TRUE,TRUE,13,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
214,19,Pwani,50,TRUE,FALSE,4,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional
215,1573,Iringa,150,TRUE,TRUE,38,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional
216,963,Rukwa,200,TRUE,TRUE,3,india mark ii,vwc,annually,salty,enough,borehole,hand pump,functional
217,1491,Kilimanjaro,1,TRUE,TRUE,5,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional
218,1243,Mara,500,FALSE,FALSE,30,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
219,988,Arusha,200,TRUE,TRUE,35,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
220,1455,Arusha,200,TRUE,TRUE,3,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
221,386,Mtwara,250,TRUE,TRUE,4,india mark ii,vwc,per bucket,salty,enough,borehole,hand pump,non functional
222,1298,Kigoma,450,TRUE,TRUE,38,gravity,water board,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair
223,1527,Arusha,200,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
224,1794,Tanga,1,TRUE,TRUE,21,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
225,1337,Iringa,40,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
226,363,Mtwara,140,TRUE,TRUE,4,mono,vwc,never pay,good,dry,borehole,communal standpipe,non functional
227,1665,Tanga,1,TRUE,TRUE,13,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
228,93,Lindi,650,TRUE,FALSE,1,india mark ii,vwc,per bucket,good,enough,borehole,hand pump,functional
229,682,Iringa,1,TRUE,TRUE,3,gravity,vwc,per bucket,salty,enough,spring,communal standpipe,functional
230,366,Morogoro,50,TRUE,TRUE,19,swn 80,vwc,monthly,salty,enough,shallow well,hand pump,functional
231,28,Pwani,200,TRUE,TRUE,26,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
232,101,Morogoro,230,TRUE,TRUE,16,nira/tanira,vwc,on failure,good,insufficient,shallow well,hand pump,functional
233,1587,Manyara,163,TRUE,TRUE,2,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
234,495,Morogoro,1,TRUE,TRUE,31,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
235,317,Morogoro,150,TRUE,TRUE,16,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional
236,72,Pwani,1,TRUE,TRUE,5,gravity,private operator,never pay,good,enough,spring,communal standpipe,non functional
237,1711,Iringa,430,TRUE,TRUE,3,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
238,2076,Iringa,0,TRUE,FALSE,29,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
239,1572,Kilimanjaro,1,TRUE,TRUE,33,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional
240,2112,Manyara,290,TRUE,TRUE,1,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
241,552,Iringa,150,TRUE,TRUE,29,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,non functional
242,1539,Rukwa,100,TRUE,FALSE,18,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,functional
243,1529,Iringa,100,TRUE,TRUE,28,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
